full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,CoRT_descript,target_word,random_word,word_count,cloze_descript,Unnamed: 0,display,break,index,condition_name,sampled,answer,last_word,hand,iti_dur,start_time,trial_dur,ShowProgressBar,block_num,iti_dur_ms,trial_dur_ms,randomise_blocks
"To|prepare|his|fields|for|planting,|Blake|began|to",0.38,peele,4.0,1.0,strong CoRT,plow,weave,9,low cloze,,,,,,,,,,,,,,,,,
Violet|fixed|her|bike|by|replacing|her|broken,0.39,peele,4.0,0.7071067811865476,strong CoRT,chain,kite,8,low cloze,,,,,,,,,,,,,,,,,
Wade|spotted|the|incoming|ball|and|was|able|to,0.36,peele,4.5,0.5773502691896257,strong CoRT,duck,track,9,low cloze,,,,,,,,,,,,,,,,,
"When|Joel|twisted|his|ankle,|he|began|to",0.37,peele,4.5,0.5477225575051661,strong CoRT,cry,merge,8,low cloze,,,,,,,,,,,,,,,,,
"When|Nancy|returned|home,|all|she|found|was|a",0.38,peele,4.0,1.414213562373095,strong CoRT,note,run,9,low cloze,,,,,,,,,,,,,,,,,
When|the|puppies|get|hungry|they|start|to,0.4,peele,4.4,1.3416407864998738,strong CoRT,whine,attention,8,low cloze,,,,,,,,,,,,,,,,,
"Whenever|her|grandkids|visit,|Greta|prepares|lots|of",0.32,peele,4.0,0.7071067811865476,strong CoRT,cookies,head,8,low cloze,,,,,,,,,,,,,,,,,
"While|chewing|on|the|ice,|Sean|felt|his|tooth",0.42,peele,4.2,1.3038404810405295,strong CoRT,crack,summit,9,low cloze,,,,,,,,,,,,,,,,,
"While|fishing,|Ryan|dropped|the|worm|which|began|to",0.32,peele,4.25,0.9574271077563382,strong CoRT,wiggle,womb,9,low cloze,,,,,,,,,,,,,,,,,
"While|in|the|basement,|Alexis|caught|and|killed|a",0.35,peele,4.6,0.5477225575051662,strong CoRT,rat,these,9,low cloze,,,,,,,,,,,,,,,,,
"While|trying|to|lift|the|box,|Jeffrey|pulled|his",0.39,peele,4.4,0.8944271909999159,strong CoRT,back,witch,9,low cloze,,,,,,,,,,,,,,,,,
